Language	English	Français	italiano	Deutsche	español	日本	Português	عربى	한국어	Русский	中文(简)	中文(繁)	Polski	Dutch	Предреформенный русскій
LanguageCode	en	fr	it	de	es	ja	pt	ar	ko	ru	zh-CN	zh-TW	pl	nl	re
Your Turn	Your Turn	À vous de jouer	Il Tuo Turno	Dein Zug	Tu turno	あなたのターン	Sua vez	دورك	내 턴	Ваш Ход	你的回合	你的回合	Twoja kolej	Jouw zet	Твой Чередъ
Maximum shield	Maximum shield	Bouclier maximum	Massimo scudo	Maximaler Schild 	Escudo máximo	シールド最大	Escudo máximo	أقصى درع	최대 방어	Максимум Щита	最大护盾	最大護盾	Maksymalna tarcza	maximum schild	Величайшій Щитъ
slash	slash	Trancher	tagliare	Schnitt	barra oblicua	スラッシュ	Cortar	خفض	베기	Режущий Удар	切割	切割	Cięcie	zwaardslag	Рѣжущій Ударъ
rend	rend	Déchirement	lacerare	Zerfleischung	desgarrar	レンド	Rasgar	الاداء	찢어발기기	Рубящий Удар	撕裂	撕裂	Rozdarcie	verscheur	Рубящій Ударъ
bleed	bleed	Saignement	sanguinare	Blutung	sangrar	出血	Sangrar	ينزف	출혈	Кровотечение	出血	出血	Krwawienie	bloeden	Кровоизліяніе
suffocate	suffocate	Étranglement	soffocare	Ersticken	sofocar	窒息	sufocar	خنق	질식시키기 	Удушье	窒息	窒息	Uduszenie	verstik	Удушеніе
heal	heal	Soin	guarire	Heilung	sanar	治癒	curar	يشفي	치료	Исцеление	治疗	治療	Uzdrowienie	genees	Исцѣленіе
target circle	target circle	Cibler en cercle	bersaglia a cerchio	Ziel: Kreis	círculo objetivo	選択範囲 サークル	Círculo Alvo	دائرة الهدف	원형 표적	Круг	选取 圆形区域	選取 圓形區域	Celuj: Okrąg	mik op cirkel	Кругъ
connect	connect	Connection	collegare	Verbinden	conectar	コネクト	conectar	يتصل	연결하기	Связывание	链接	鏈接	Połącz	verbind	Связываніе
contaminate	contaminate	Contamination	inquinare	Kontaminieren	contaminar	汚染	contaminar	تلوث	오염시키기	Заражение	污染	污染	Epidemia	besmet	Заразъ
freeze	freeze	Gel	congelare	Einfrieren	congelar	氷結	congelar	تجميد	얼리기	Оледенение	冰冻	冰凍	Zamrożenie	bevries	Оледенѣніе
resurrect	resurrect	Résurrection	resuscitare	Wiederbeleben	resucitar	蘇生	ressuscitar	إحياء	되살리기	Воскрешение	复活	復活	Wskrzeszenie	tot leven wekken	Воскрешеніе
shield	shield	Bouclier	scudo	Schild	blindaje	シールド	escudo	درع	방어하기	Щит	护盾	護盾	Tarcza	bescherm	Щитъ
poison	poison	Empoisonnement	veleno	Gift	veneno	毒	tóxico	سم	독	Яд	毒	毒	Zatrucie	vergif	Ядъ
purify	purify	Purification	purificare	Läutern	purificar	浄化	purificar	تنقية	정화	Очищение	净化	淨化	Oczyszczenie	reinig	Очищеніе
swap	swap	Échange	scambiare	Tauschen	intercambio	スワップ	trocar	تبديل	바꾸기	Рокировка	交换	交換	Zamiana	verwissel	Рокировка
